Kids_First_Biospecimen_ID	cohort_latest	cohort_previous
BS_18RH1034	PNOC_dataset_2	PNOC008
BS_2853394H	PNOC_dataset_2	PNOC008
BS_2B6ZEXAP	PNOC_dataset_2	PNOC008
BS_2DNGDW0A	PNOC_dataset_2	PNOC008
BS_2HNXVFAS	PNOC_dataset_2	PNOC008
BS_3EZR108Y	PNOC_dataset_2	PNOC008
BS_3ZPJAK9A	PNOC_dataset_2	PNOC008
BS_40RVSGZF	PNOC_dataset_2	PNOC008
BS_4K7SDXC7	PNOC_dataset_2	PNOC008
BS_4KNBXM3C	PNOC_dataset_2	PNOC008
BS_4SCDT7M9	PNOC_dataset_2	PNOC008
BS_5AJNFDME	PNOC_dataset_2	PNOC008
BS_63WRZJ06	PNOC_dataset_2	PNOC008
BS_7PAAZQE6	PNOC_dataset_2	PNOC008
BS_862NMAR7	PNOC_dataset_2	PNOC008
BS_8BNM6DE1	PNOC_dataset_2	PNOC008
BS_8ZE4Z9G5	PNOC_dataset_2	PNOC008
BS_91HP99HY	PNOC_dataset_2	PNOC008
BS_9FX3YREK	PNOC_dataset_2	PNOC008
BS_9TXEDSWB	PNOC_dataset_2	PNOC008
BS_9W04ZPRR	PNOC_dataset_2	PNOC008
BS_APXB3MQ5	PNOC_dataset_2	PNOC008
BS_B4R7X1KE	PNOC_dataset_2	PNOC008
BS_BT83BCEE	PNOC_dataset_2	PNOC008
BS_CFJYJAA3	PNOC_dataset_2	PNOC008
BS_CZPQ493E	PNOC_dataset_2	PNOC008
BS_DD2N8CEX	PNOC_dataset_2	PNOC008
BS_E7NVYA6G	PNOC_dataset_2	PNOC008
BS_F9Y4Z92G	PNOC_dataset_2	PNOC008
BS_G5NHSFD4	PNOC_dataset_2	PNOC008
BS_G5VS97AD	PNOC_dataset_2	PNOC008
BS_HA8VYBMA	PNOC_dataset_2	PNOC008
BS_HRJ9145M	PNOC_dataset_2	PNOC008
BS_J9CBGP57	PNOC_dataset_2	PNOC008
BS_JC7E55BV	PNOC_dataset_2	PNOC008
BS_JD5FE0V5	PNOC_dataset_2	PNOC008
BS_JTWNJ8T7	PNOC_dataset_2	PNOC008
BS_JWDK21ED	PNOC_dataset_2	PNOC008
BS_KHJMCFQR	PNOC_dataset_2	PNOC008
BS_KN6FCN12	PNOC_dataset_2	PNOC008
BS_KRS4EV4X	PNOC_dataset_2	PNOC008
BS_KT3GAAQV	PNOC_dataset_2	PNOC008
BS_KWMFKN38	PNOC_dataset_2	PNOC008
BS_NGHQ8CNA	PNOC_dataset_2	PNOC008
BS_P78BDBZE	PNOC_dataset_2	PNOC008
BS_PJZ7YCFW	PNOC_dataset_2	PNOC008
BS_QF7M4SHH	PNOC_dataset_2	PNOC008
BS_QTF9SJGP	PNOC_dataset_2	PNOC008
BS_RJC3WDD6	PNOC_dataset_2	PNOC008
BS_RP8JJ88Z	PNOC_dataset_2	PNOC008
BS_RVT7EHNX	PNOC_dataset_2	PNOC008
BS_S8A23A9V	PNOC_dataset_2	PNOC008
BS_TN8CGS84	PNOC_dataset_2	PNOC008
BS_TVXSXJFY	PNOC_dataset_2	PNOC008
BS_VKYEM67A	PNOC_dataset_2	PNOC008
BS_WNDCJVC6	PNOC_dataset_2	PNOC008
BS_WPV7N6NQ	PNOC_dataset_2	PNOC008
BS_WQ1YRTAT	PNOC_dataset_2	PNOC008
BS_X0KN4VVW	PNOC_dataset_2	PNOC008
BS_X8YB5G5J	PNOC_dataset_2	PNOC008
BS_XM3ER1N6	PNOC_dataset_2	PNOC008
BS_XNYH7VK6	PNOC_dataset_2	PNOC008
BS_XV5XFKE8	PNOC_dataset_2	PNOC008
BS_YA0KMBRT	PNOC_dataset_2	PNOC008
BS_Z61JVJ03	PNOC_dataset_2	PNOC008
BS_Z8GRJ71M	PNOC_dataset_2	PNOC008
